step,phase,mode,robots_alive,sigma,lambda2,leak_x,leak_y,agreed_x,agreed_y
0,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
1,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
2,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
3,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
4,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
5,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
6,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
7,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
8,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
9,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
10,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
11,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
12,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
13,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
14,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
15,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
16,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
17,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
18,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
19,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
20,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
21,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
22,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
23,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
24,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
25,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
26,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
27,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
28,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
29,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
30,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
31,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
32,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
33,MONITORING,Hazard Localisation,5,,0.8299135133739661,,,,
34,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
35,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
36,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
37,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
38,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
39,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
40,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
41,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
42,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
43,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
44,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
45,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
46,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
47,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
48,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
49,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
50,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
51,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
52,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
53,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
54,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
55,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
56,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
57,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
58,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
59,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
60,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
61,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
62,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
63,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
64,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
65,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
66,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
67,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
68,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
69,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
70,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
71,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
72,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
73,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
74,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
75,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
76,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
77,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
78,MONITORING,Hazard Localisation,5,,1.1102230246251565e-16,,,,
