step,phase,mode,robots_alive,sigma,lambda2,leak_x,leak_y,agreed_x,agreed_y
0,MONITORING,Hazard Localisation,5,,1.9999999999999998,,,,
1,MONITORING,Hazard Localisation,5,,1.9999999999999998,,,,
2,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
3,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
4,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
5,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
6,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
7,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
8,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
9,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
10,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
11,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
12,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
13,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
14,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
15,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
16,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
17,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
18,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
19,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
20,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
21,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
22,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
23,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
24,MONITORING,Hazard Localisation,5,,1.5857864376269049,,,,
25,MONITORING,Hazard Localisation,5,,0.9999999999999997,,,,
26,MONITORING,Hazard Localisation,5,,0.9999999999999997,,,,
27,MONITORING,Hazard Localisation,5,,0.9999999999999997,,,,
28,MONITORING,Hazard Localisation,5,,0.9999999999999997,,,,
29,MONITORING,Hazard Localisation,5,,0.9999999999999997,,,,
30,MONITORING,Hazard Localisation,5,,0.9999999999999997,,,,
31,MONITORING,Hazard Localisation,5,,1.0,,,,
32,MONITORING,Hazard Localisation,5,,1.0,,,,
33,MONITORING,Hazard Localisation,5,,1.0,,,,
34,MONITORING,Hazard Localisation,5,,1.0,,,,
35,MONITORING,Hazard Localisation,5,,1.0,,,,
36,MONITORING,Hazard Localisation,5,,1.0,,,,
37,MONITORING,Hazard Localisation,5,,1.0,,,,
38,MONITORING,Hazard Localisation,5,,1.0,,,,
39,MONITORING,Hazard Localisation,5,,1.0,,,,
40,MONITORING,Hazard Localisation,5,,1.0,,,,
41,MONITORING,Hazard Localisation,5,,1.0,,,,
42,MONITORING,Hazard Localisation,5,,1.0,,,,
43,MONITORING,Hazard Localisation,5,,1.0,,,,
44,MONITORING,Hazard Localisation,5,,1.0,,,,
45,MONITORING,Hazard Localisation,5,,1.0,,,,
46,MONITORING,Hazard Localisation,5,,1.0,,,,
47,MONITORING,Hazard Localisation,5,,1.0,,,,
48,MONITORING,Hazard Localisation,5,,1.0,,,,
49,MONITORING,Hazard Localisation,5,,1.0,,,,
50,MONITORING,Hazard Localisation,5,,1.0,,,,
51,MONITORING,Hazard Localisation,5,,1.0,,,,
52,MONITORING,Hazard Localisation,5,,1.0,,,,
53,MONITORING,Hazard Localisation,5,,1.0,,,,
54,MONITORING,Hazard Localisation,5,,1.0,,,,
55,MONITORING,Hazard Localisation,5,,1.0,,,,
56,MONITORING,Hazard Localisation,5,,1.0,,,,
57,MONITORING,Hazard Localisation,5,,1.0,,,,
58,MONITORING,Hazard Localisation,5,,1.0,,,,
59,MONITORING,Hazard Localisation,5,,1.0,,,,
60,MONITORING,Hazard Localisation,5,,1.0,,,,
61,MONITORING,Hazard Localisation,5,,1.0,,,,
62,MONITORING,Hazard Localisation,5,,1.0,,,,
63,MONITORING,Hazard Localisation,5,,1.0,,,,
64,MONITORING,Hazard Localisation,5,,1.0,,,,
65,MONITORING,Hazard Localisation,5,,1.0,,,,
66,MONITORING,Hazard Localisation,5,,1.0,,,,
67,MONITORING,Hazard Localisation,5,,1.0,,,,
68,MONITORING,Hazard Localisation,5,,1.0,,,,
69,MONITORING,Hazard Localisation,5,,1.0,,,,
70,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
71,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
72,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
73,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
74,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
75,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
76,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
77,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
78,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
79,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
80,MONITORING,Hazard Localisation,5,,0.9999999999999996,,,,
81,MONITORING,Hazard Localisation,5,,0.9999999999999989,,,,
82,MONITORING,Hazard Localisation,5,,0.9999999999999989,,,,
83,MONITORING,Hazard Localisation,5,,0.9999999999999989,,,,
84,MONITORING,Hazard Localisation,5,,0.9999999999999989,,,,
85,MONITORING,Hazard Localisation,5,,0.9999999999999989,,,,
86,MONITORING,Hazard Localisation,5,,0.9999999999999989,,,,
87,MONITORING,Hazard Localisation,5,,0.5188056959079842,,,,
88,MONITORING,Hazard Localisation,5,,0.5188056959079842,,,,
89,MONITORING,Hazard Localisation,5,,0.5188056959079842,,,,
90,MONITORING,Hazard Localisation,5,,0.5188056959079842,,,,
91,MONITORING,Hazard Localisation,5,,0.5188056959079842,,,,
92,MONITORING,Hazard Localisation,5,,0.5188056959079842,,,,
93,MONITORING,Hazard Localisation,5,,0.5188056959079842,,,,
94,MONITORING,Hazard Localisation,5,,0.0,,,,
95,MONITORING,Hazard Localisation,5,,0.0,,,,
96,MONITORING,Hazard Localisation,5,,0.0,,,,
97,MONITORING,Hazard Localisation,5,,0.0,,,,
98,MONITORING,Hazard Localisation,5,,0.0,,,,
99,MONITORING,Hazard Localisation,5,,0.0,,,,
100,MONITORING,Hazard Localisation,5,,0.0,,,,
101,MONITORING,Hazard Localisation,5,,0.0,,,,
102,MONITORING,Hazard Localisation,5,,0.0,,,,
103,MONITORING,Hazard Localisation,5,,0.0,,,,
104,MONITORING,Hazard Localisation,5,,0.0,,,,
105,MONITORING,Hazard Localisation,5,,0.0,,,,
106,MONITORING,Hazard Localisation,5,,0.0,,,,
107,MONITORING,Hazard Localisation,5,,0.0,,,,
108,MONITORING,Hazard Localisation,5,,0.0,,,,
109,MONITORING,Hazard Localisation,5,,0.0,,,,
110,MONITORING,Hazard Localisation,5,,0.0,,,,
111,MONITORING,Hazard Localisation,5,,0.0,,,,
112,MONITORING,Hazard Localisation,5,,0.0,,,,
113,MONITORING,Hazard Localisation,5,,0.0,,,,
114,MONITORING,Hazard Localisation,5,,0.0,,,,
115,MONITORING,Hazard Localisation,5,,0.0,,,,
116,MONITORING,Hazard Localisation,5,,0.0,,,,
117,MONITORING,Hazard Localisation,5,,0.0,,,,
118,MONITORING,Hazard Localisation,5,,0.0,,,,
119,MONITORING,Hazard Localisation,5,,0.0,,,,
120,MONITORING,Hazard Localisation,5,,0.0,,,,
121,MONITORING,Hazard Localisation,5,,0.0,,,,
122,MONITORING,Hazard Localisation,5,,0.0,,,,
123,MONITORING,Hazard Localisation,5,,0.0,,,,
124,MONITORING,Hazard Localisation,5,,0.0,,,,
125,MONITORING,Hazard Localisation,5,,0.0,,,,
126,MONITORING,Hazard Localisation,5,,0.0,,,,
127,MONITORING,Hazard Localisation,5,,0.0,,,,
128,MONITORING,Hazard Localisation,5,,0.0,,,,
129,MONITORING,Hazard Localisation,5,,0.0,,,,
130,MONITORING,Hazard Localisation,5,,0.0,,,,
131,MONITORING,Hazard Localisation,5,,0.0,,,,
132,MONITORING,Hazard Localisation,5,,0.0,,,,
133,MONITORING,Hazard Localisation,5,,0.0,,,,
134,MONITORING,Hazard Localisation,5,,0.0,,,,
135,MONITORING,Hazard Localisation,5,,0.0,,,,
136,MONITORING,Hazard Localisation,5,,0.0,,,,
137,MONITORING,Hazard Localisation,5,,0.0,,,,
138,MONITORING,Hazard Localisation,5,,0.0,,,,
139,MONITORING,Hazard Localisation,5,,0.0,,,,
140,MONITORING,Hazard Localisation,5,,0.0,,,,
141,MONITORING,Hazard Localisation,5,,0.0,,,,
142,MONITORING,Hazard Localisation,5,,0.0,,,,
143,MONITORING,Hazard Localisation,5,,0.0,,,,
144,MONITORING,Hazard Localisation,5,,0.0,,,,
145,MONITORING,Hazard Localisation,5,,0.0,,,,
146,MONITORING,Hazard Localisation,5,,0.0,,,,
147,MONITORING,Hazard Localisation,5,,0.0,,,,
148,MONITORING,Hazard Localisation,5,,0.0,,,,
149,MONITORING,Hazard Localisation,5,,0.0,,,,
150,MONITORING,Hazard Localisation,5,,0.0,,,,
151,MONITORING,Hazard Localisation,5,,0.0,,,,
152,MONITORING,Hazard Localisation,5,,0.0,,,,
153,MONITORING,Hazard Localisation,5,,0.0,,,,
154,MONITORING,Hazard Localisation,5,,0.0,,,,
155,MONITORING,Hazard Localisation,5,,0.0,,,,
156,MONITORING,Hazard Localisation,5,,0.0,,,,
157,MONITORING,Hazard Localisation,5,,0.0,,,,
158,MONITORING,Hazard Localisation,5,,0.0,,,,
159,MONITORING,Hazard Localisation,5,,0.0,,,,
160,MONITORING,Hazard Localisation,5,,0.0,,,,
161,MONITORING,Hazard Localisation,5,,0.0,,,,
162,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
163,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
164,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
165,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
166,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
167,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
168,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
169,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
170,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
171,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
172,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
173,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
174,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
175,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
176,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
177,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
178,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
179,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
180,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
181,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
182,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
183,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
184,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
185,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
186,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
187,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
188,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
189,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
190,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
191,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
192,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
193,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
194,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
195,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
196,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
197,MONITORING,Hazard Localisation,5,,5.0450834795003976e-17,,,,
198,MONITORING,Hazard Localisation,5,,0.0,,,,
199,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
200,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
201,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
202,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
203,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
204,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
205,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
206,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
207,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
208,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
209,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
210,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
211,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
212,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
213,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
214,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
215,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
216,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
217,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
218,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
219,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
220,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
221,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
222,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
223,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
224,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
225,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
226,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
227,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
228,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
229,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
230,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
231,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
232,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
233,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
234,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
235,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
236,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
237,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
238,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
239,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
240,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
241,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
242,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
243,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
244,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
245,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
246,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
247,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
248,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
249,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
250,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
251,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
252,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
253,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
254,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
255,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
256,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
257,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
258,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
259,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
260,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
261,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
262,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
263,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
264,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
265,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
266,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
267,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
268,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
269,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
270,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
271,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
272,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
273,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
274,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
275,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
276,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
277,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
278,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
279,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
280,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
281,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
282,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
283,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
284,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
285,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
286,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
287,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
288,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
289,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
290,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
291,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
292,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
293,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
294,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
295,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
296,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
297,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
298,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
299,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
300,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
301,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
302,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
303,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
304,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
305,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
306,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
307,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
308,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
309,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
310,LEAK DETECTED,Hazard Localisation,5,,0.0,121.09266132793621,253.26512231852502,,
