step,phase,mode,robots_alive,sigma,lambda2,leak_x,leak_y,agreed_x,agreed_y
0,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
1,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
2,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
3,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
4,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
5,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
6,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
7,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
8,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
9,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
10,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
11,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
12,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
13,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
14,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
15,MONITORING,Hazard Localization,5,,0.8299135133739662,,,,
16,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
17,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
18,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
19,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
20,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
21,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
22,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
23,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
24,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
25,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
26,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
27,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
28,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
29,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
30,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
31,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
32,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
33,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
34,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
35,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
36,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
37,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
38,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
39,MONITORING,Hazard Localization,5,,0.5188056959079844,,,,
40,MONITORING,Hazard Localization,5,,0.3819660112501052,,,,
41,MONITORING,Hazard Localization,5,,0.3819660112501052,,,,
42,MONITORING,Hazard Localization,5,,0.3819660112501052,,,,
43,MONITORING,Hazard Localization,5,,0.3819660112501052,,,,
44,MONITORING,Hazard Localization,5,,0.3819660112501052,,,,
45,MONITORING,Hazard Localization,5,,0.3819660112501052,,,,
