step,phase,mode,robots_alive,sigma,lambda2,leak_x,leak_y,agreed_x,agreed_y
0,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
1,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
2,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
3,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
4,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
5,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
6,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
7,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
8,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
9,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
10,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
11,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
12,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
13,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
14,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
15,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
16,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
17,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
18,MONITORING,Hazard Localization,5,,3.000000000000001,,,,
19,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
20,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
21,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
22,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
23,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
24,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
25,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
26,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
27,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
28,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
29,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
30,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
31,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
32,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
33,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
34,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
35,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
36,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
37,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
38,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
39,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
40,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
41,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
42,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
43,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
44,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
45,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
46,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
47,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
48,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
49,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
50,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
51,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
52,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
53,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
54,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
55,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
56,MONITORING,Hazard Localization,5,,4.999999999999996,,,,
57,MONITORING,Hazard Localization,5,,3.0,,,,
58,MONITORING,Hazard Localization,5,,3.0,,,,
59,MONITORING,Hazard Localization,5,,3.0,,,,
60,MONITORING,Hazard Localization,5,,3.0,,,,
61,MONITORING,Hazard Localization,5,,2.0000000000000018,,,,
62,MONITORING,Hazard Localization,5,,2.0000000000000018,,,,
63,MONITORING,Hazard Localization,5,,2.0000000000000018,,,,
64,MONITORING,Hazard Localization,5,,2.0000000000000018,,,,
65,MONITORING,Hazard Localization,5,,2.0000000000000018,,,,
66,MONITORING,Hazard Localization,5,,2.0000000000000018,,,,
67,MONITORING,Hazard Localization,5,,2.0000000000000018,,,,
68,MONITORING,Hazard Localization,5,,2.0000000000000018,,,,
69,MONITORING,Hazard Localization,5,,2.0000000000000018,,,,
70,MONITORING,Hazard Localization,5,,1.5857864376269055,,,,
71,MONITORING,Hazard Localization,5,,1.5857864376269055,,,,
72,MONITORING,Hazard Localization,5,,1.5857864376269055,,,,
73,MONITORING,Hazard Localization,5,,1.5857864376269055,,,,
74,MONITORING,Hazard Localization,5,,1.5857864376269055,,,,
75,MONITORING,Hazard Localization,5,,1.5857864376269055,,,,
76,MONITORING,Hazard Localization,5,,1.5857864376269055,,,,
77,MONITORING,Hazard Localization,5,,1.5857864376269055,,,,
78,MONITORING,Hazard Localization,5,,1.5857864376269055,,,,
79,MONITORING,Hazard Localization,5,,1.5857864376269055,,,,
80,MONITORING,Hazard Localization,5,,1.5857864376269055,,,,
81,MONITORING,Hazard Localization,5,,1.5857864376269055,,,,
82,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
83,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
84,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
85,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
86,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
87,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
88,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
89,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
90,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
91,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
92,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
93,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
94,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
95,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
96,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
97,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
98,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
99,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
100,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
101,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
102,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
103,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
104,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
105,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
106,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
107,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
108,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
109,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
110,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
111,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
112,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
113,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
114,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
115,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
116,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
117,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
118,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
119,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
120,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
121,MONITORING,Hazard Localization,5,,1.0000000000000007,,,,
