step,phase,mode,robots_alive,sigma,lambda2,leak_x,leak_y,agreed_x,agreed_y
0,MONITORING,Hazard Localisation,5,,1.0,,,,
1,MONITORING,Hazard Localisation,5,,1.0,,,,
2,MONITORING,Hazard Localisation,5,,1.0,,,,
3,MONITORING,Hazard Localisation,5,,1.0,,,,
4,MONITORING,Hazard Localisation,5,,1.0,,,,
5,MONITORING,Hazard Localisation,5,,1.0,,,,
6,MONITORING,Hazard Localisation,5,,1.0,,,,
7,MONITORING,Hazard Localisation,5,,1.0,,,,
8,MONITORING,Hazard Localisation,5,,1.0,,,,
9,MONITORING,Hazard Localisation,5,,1.0,,,,
10,MONITORING,Hazard Localisation,5,,1.0,,,,
11,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
12,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
13,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
14,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
15,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
16,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
17,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
18,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
19,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
20,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
21,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
22,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
23,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
24,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
25,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
26,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
27,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
28,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
29,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
30,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
31,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
32,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
33,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
34,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
35,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
36,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
37,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
38,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
39,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
40,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
41,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
42,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
43,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
44,MONITORING,Hazard Localisation,5,,0.5188056959079844,,,,
45,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
46,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
47,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
48,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
49,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
50,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
51,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
52,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
53,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
54,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
55,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
56,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
57,MONITORING,Hazard Localisation,5,,3.9250536344271737e-17,,,,
