seed,completed,t_leak,t_first_det,t_consensus,t_reported,patrol_steps,investigate_steps,fuse_steps,total_steps,err_x,err_y,err,in_tolerance_50,in_tolerance_25,lam2_mean,lam2_min,lam2_zero_pct,comm_radius,exploration,n_degraded,robots_alive_end,condition
6010,True,199,311,352,382,112,41,30,183,-1.0643552460348928,13.203647001576996,13.246476747875835,True,True,1.2349726775956282,0.0,36.612021857923494,500,lloyd,0,4,drop_R2
6011,True,199,256,352,389,57,96,37,190,2.3352428652403887,12.765253170801088,12.977097046500939,True,True,1.7370236204495062,0.585786437626905,0.0,500,lloyd,0,4,drop_R2
6012,True,199,447,543,583,248,96,40,384,4.686570714411687,2.008717895448342,5.098910927313369,True,True,0.6515465298225006,0.0,39.583333333333336,500,lloyd,0,4,drop_R2
6013,True,199,314,435,476,115,121,41,277,4.191802755648581,5.667251438553819,7.04903888555407,True,True,0.9287982980957598,0.0,14.440433212996389,500,lloyd,0,4,drop_R2
6014,True,199,222,314,359,23,92,45,160,2.260174803505606,-1.9685985887302877,2.997293870469241,True,True,3.5874999999999995,2.000000000000001,0.0,500,lloyd,0,4,drop_R2
6000,True,199,200,308,338,1,108,30,139,0.6508198541417869,-3.898313548365934,3.9522670714310966,True,True,1.0,1.0,0.0,500,lloyd,0,4,drop_R3
6001,True,199,205,323,353,6,118,30,154,-2.3884622397791873,-0.9292009956590164,2.562843413317466,True,True,2.0000000000000004,2.000000000000001,0.0,500,lloyd,0,4,drop_R3
6002,True,199,884,979,1009,685,95,30,810,-0.24253728438270628,2.2213995747366226,2.234600726070719,True,True,0.8312940696103591,0.0,22.71604938271605,500,lloyd,0,4,drop_R3
6003,True,199,323,369,401,124,46,32,202,-1.693873529592679,1.792182398846137,2.465993772293161,True,True,1.0,1.0,0.0,500,lloyd,0,4,drop_R3
6004,True,199,403,533,563,204,130,30,364,5.827963113717374,-11.146028848828848,12.577722892231934,True,True,0.8709877431848615,0.585786437626905,0.0,500,lloyd,0,4,drop_R3
6005,True,199,348,395,425,149,47,30,226,0.7839944351263739,3.811480429009592,3.8912761833404046,True,True,1.9247787610619467,1.0,0.0,500,lloyd,0,4,drop_R3
6006,True,199,221,434,464,22,213,30,265,-9.582707814603623,-3.967580292557386,10.371594980423941,True,True,0.7170843215489423,0.5857864376269047,0.0,500,lloyd,0,4,drop_R3
6007,True,199,203,276,306,4,73,30,107,-4.404537580140413,2.5168802458869095,5.07293184135219,True,True,0.560747663551402,0.0,43.925233644859816,500,lloyd,0,4,drop_R3
6008,True,199,494,540,578,295,46,38,379,1.8320353721820766,-2.690571217048955,3.255077123347251,True,True,1.7451240639935441,0.5857864376269052,0.0,500,lloyd,0,4,drop_R3
6009,True,199,312,407,437,113,95,30,238,5.146085297570551,23.832074743809585,24.381344927718786,True,True,3.9999999999999996,3.9999999999999982,0.0,500,lloyd,0,4,drop_R3
6010,True,199,375,424,454,176,49,30,255,-2.4254520213117985,-0.35977537624205524,2.4519901771898684,True,True,0.7798545686672644,0.0,20.784313725490197,500,lloyd,0,4,drop_R3
6011,True,199,200,246,277,1,46,31,78,6.331704507354743,2.489877397094645,6.803673377008862,True,True,1.5512820512820513,1.0,0.0,500,lloyd,0,4,drop_R3
6012,True,199,461,491,521,262,30,30,322,13.158878313075661,0.0516114292970542,13.158979527226533,True,True,1.191351626363819,0.585786437626905,0.0,500,lloyd,0,4,drop_R3
6013,True,199,335,474,511,136,139,37,312,12.402043979758304,15.801096935901839,20.08694499553443,True,True,0.9039566919404044,0.585786437626905,0.0,500,lloyd,0,4,drop_R3
6014,True,199,408,481,516,209,73,35,317,6.4884043427022675,-10.669669822989988,12.487643694709618,True,True,1.6911303209923294,0.5857864376269047,0.0,500,lloyd,0,4,drop_R3
6000,True,199,294,403,433,95,109,30,234,8.662111147040719,3.494144850415495,9.340300731741575,True,True,1.2393162393162391,0.0,13.675213675213675,500,lloyd,0,4,drop_R4
6001,True,199,273,287,317,74,14,30,118,6.577455998634946,-14.981075586679367,16.361404375779586,True,True,2.0,2.0,0.0,500,lloyd,0,4,drop_R4
