seed,completed,t_leak,t_first_det,t_consensus,t_reported,patrol_steps,investigate_steps,fuse_steps,total_steps,err_x,err_y,err,in_tolerance_50,in_tolerance_25,lam2_mean,lam2_min,lam2_zero_pct,comm_radius,exploration,n_degraded,robots_alive_end,condition
5000,True,199,362,464,494,163,102,30,295,0.9478832295806114,4.087395709693453,4.19586538208039,True,True,0.5837268854162031,0.0,21.016949152542374,350,lloyd,0,5,baseline
5001,True,199,231,312,342,32,81,30,143,2.499116314709113,4.315204954272701,4.98663976559616,True,True,0.06893222533043147,0.0,86.7132867132867,350,lloyd,0,5,baseline
5002,True,199,503,646,676,304,143,30,477,5.1547632725221035,3.9894777569721214,6.51824494546792,True,True,2.9623046297563574e-18,0.0,100.0,350,lloyd,0,5,baseline
5003,True,199,200,278,308,1,78,30,109,-1.810641086259011,-5.777660508552401,6.054732206740047,True,True,0.042837167552035434,0.0,91.74311926605505,350,lloyd,0,5,baseline
5004,True,199,200,292,322,1,92,30,123,-6.970496327209958,1.878433811894638,7.2191642614167275,True,True,0.029525527409397526,0.0,94.3089430894309,350,lloyd,0,5,baseline
5005,True,199,231,456,486,32,225,30,287,-0.4903406504671466,-3.6793305114865404,3.7118603107143393,True,True,0.1725538699222105,0.0,82.92682926829268,350,lloyd,0,5,baseline
5006,True,199,235,424,454,36,189,30,255,5.283520851377489,-3.044096044810857,6.09771377788215,True,True,0.03249102823430284,-4.3549927501688853e-17,93.33333333333333,350,lloyd,0,5,baseline
5007,True,199,369,438,472,170,69,34,273,4.749683116926121,-5.910932768349824,7.582784178859685,True,True,0.04029304029304027,-2.419802882568997e-16,95.97069597069597,350,lloyd,0,5,baseline
5008,True,199,200,330,360,1,130,30,161,5.426107202966023,-0.666397238714211,5.466875218792329,True,True,1.2197269727179618,0.3819660112501052,0.0,350,lloyd,0,5,baseline
5009,True,199,200,453,483,1,253,30,284,-9.079889137985788,-0.20240061938642384,9.08214472296276,True,True,0.012104556694545604,0.0,96.83098591549296,350,lloyd,0,5,baseline
5000,True,280,415,750,780,135,335,30,500,0.8057150840267013,-0.008538667939916422,0.805760327565426,True,True,0.032000000000000035,-4.3549927501688853e-17,96.8,350,lloyd,1,5,k=1 degraded
5001,True,280,540,621,651,260,81,30,371,8.35866209279601,-0.637944609258227,8.38297115025613,True,True,0.07458019208402121,-4.3549927501688853e-17,91.37466307277629,350,lloyd,1,5,k=1 degraded
5002,True,280,308,423,453,28,115,30,173,2.2440989436477707,-7.112525575311452,7.458149913238573,True,True,0.23147850853158417,0.0,57.225433526011564,350,lloyd,1,5,k=1 degraded
5003,True,280,293,454,484,13,161,30,204,-5.573487392059064,-8.110033431504064,9.840548966879588,True,True,0.1530882141799755,0.0,74.01960784313725,350,lloyd,1,5,k=1 degraded
5004,True,280,300,480,510,20,180,30,230,-1.4354736007383053,-2.6005799766791426,2.9704546240468117,True,True,0.79300042013046,-4.3549927501688853e-17,51.30434782608695,350,lloyd,1,5,k=1 degraded
5005,True,280,317,421,451,37,104,30,171,4.975482674733257,2.1979505772171706,5.439339535868312,True,True,0.16910104845724708,0.0,67.25146198830409,350,lloyd,1,5,k=1 degraded
5006,True,280,281,449,479,1,168,30,199,4.453018686456517,-1.1955471478736968,4.610716691005841,True,True,0.5974120953291855,-4.3549927501688853e-17,18.09045226130653,350,lloyd,1,5,k=1 degraded
5007,True,280,350,502,532,70,152,30,252,-1.4505923087895098,3.8212959182535826,4.087361073012852,True,True,4.4056469231157e-18,0.0,100.0,350,lloyd,1,5,k=1 degraded
5008,True,280,398,510,552,118,112,42,272,21.03441716099462,-3.8875978484300617,21.39065502348778,True,True,1.1102345897869952,0.0,37.86764705882353,350,lloyd,1,5,k=1 degraded
5009,True,280,381,440,470,101,59,30,190,0.7366882954995049,4.290345834225548,4.353134160806726,True,True,3.9734297723426655e-17,0.0,100.0,350,lloyd,1,5,k=1 degraded
5000,True,280,665,1021,1092,385,356,71,812,-2.082303974427532,-1.9690058934482977,2.8658286847526013,True,True,0.047682269340328765,0.0,91.99507389162562,350,lloyd,2,5,k=2 degraded
5001,True,280,568,758,788,288,190,30,508,2.85515665509638,4.337267771961194,5.19266899107139,True,True,0.22237869040081124,0.0,57.48031496062992,350,lloyd,2,5,k=2 degraded
5002,True,280,284,432,462,4,148,30,182,40.02096638913628,17.103232583204942,43.52238866969021,True,False,0.31671455703121193,0.0,41.20879120879121,350,lloyd,2,5,k=2 degraded
