seed,completed,t_leak,t_first_det,t_consensus,t_reported,patrol_steps,investigate_steps,fuse_steps,total_steps,err_x,err_y,err,in_tolerance_50,in_tolerance_25,lam2_mean,lam2_min,lam2_zero_pct,comm_radius,exploration,n_degraded,robots_alive_end
2014,True,199,207,268,298,8,61,30,99,-9.854140116779831,4.245895535900786,10.72994437743793,True,True,0.22713448578207535,0.0,73.73737373737374,500,lloyd,0,5
2015,True,199,200,308,338,1,108,30,139,10.914673158865867,-7.591494534958201,13.295144957433418,True,True,4.594354127260066,1.5857864376269053,0.0,500,lloyd,0,5
2016,True,199,449,506,536,250,57,30,337,-2.344577417007031,6.219978547572396,6.647193121656702,True,True,1.963335385920321,0.0,15.13353115727003,500,lloyd,0,5
2017,True,199,527,660,690,328,133,30,491,32.95012631056619,-6.1372189402936215,33.51680593677395,True,False,2.186300102533364,0.38196601125010504,0.0,500,lloyd,0,5
2018,True,199,298,390,420,99,92,30,221,18.9007404538105,-11.257372845572036,21.99923710237542,True,True,2.865429342216389,1.5857864376269055,0.0,500,lloyd,0,5
2019,True,199,230,352,390,31,122,38,191,10.507232321473793,12.608011338900383,16.41230882536836,True,True,1.669573135583186,0.5188056959079845,0.0,500,lloyd,0,5
2020,True,199,227,304,334,28,77,30,135,-3.7282701952977675,7.027787168480188,7.955488114163733,True,True,1.145297953252961,0.9999999999999996,0.0,500,lloyd,0,5
2021,True,199,204,355,394,5,151,39,195,5.10402325528878,3.8126286564804843,6.370807693122188,True,True,0.7141515308532185,0.0,62.05128205128205,500,lloyd,0,5
2022,True,199,284,411,449,85,127,38,250,17.3205040304141,30.27084834004546,34.8758386149154,True,False,2.7514624726631367,1.1102230246251565e-16,14.0,500,lloyd,0,5
2023,True,199,538,688,718,339,150,30,519,43.70369243849814,9.612202296398493,44.74826438808245,True,False,2.3073352077149516,1.1102230246251565e-16,4.431599229287091,500,lloyd,0,5
2024,True,199,202,305,337,3,103,32,138,0.4329472492977402,-2.4546972062063332,2.4925853435402483,True,True,3.1435958972168563,1.5857864376269053,0.0,500,lloyd,0,5
2025,True,199,859,1149,1179,660,290,30,980,32.0718026767243,25.366641661454935,40.890916303201145,True,False,1.251995142277596,3.648896340650797e-16,4.183673469387755,500,lloyd,0,5
2026,True,199,200,317,347,1,117,30,148,7.152692473994534,-11.836823436289762,13.830090335548666,True,True,4.176073476371927,1.5857864376269046,0.0,500,lloyd,0,5
2027,True,199,202,420,450,3,218,30,251,-19.699161096378816,-0.29553844247558914,19.701377892727848,True,True,2.3705179282868514,0.0,18.326693227091635,500,lloyd,0,5
2028,True,199,442,594,624,243,152,30,425,24.067199292886357,40.709962972820875,47.29197782977528,True,False,0.8380898078081009,0.5188056959079842,0.0,500,lloyd,0,5
2029,True,199,241,310,340,42,69,30,141,14.534180247881068,-2.7797760078398994,14.797619745474558,True,True,1.2005400944720628,0.0,4.25531914893617,500,lloyd,0,5
2030,True,199,577,599,629,378,22,30,430,6.445812147438005,0.7822936473648383,6.493110009137896,True,True,1.8763603817378072,0.8299135133739662,0.0,500,lloyd,0,5
2031,True,199,291,422,452,92,131,30,253,19.542707606233535,13.245539966902555,23.60851010965222,True,True,2.936197092396319,0.9999999999999997,0.0,500,lloyd,0,5
2032,True,199,528,570,600,329,42,30,401,6.9089712443347935,21.52501024312889,22.606635079592202,True,True,2.1095484593220313,0.9999999999999991,0.0,500,lloyd,0,5
2033,True,199,338,485,515,139,147,30,316,20.66798367408299,-22.307817076039555,30.410594401461523,True,False,0.928662557751354,0.0,14.873417721518987,500,lloyd,0,5
2034,True,199,200,382,412,1,182,30,213,-4.687041798091855,-1.3553951334781118,4.879083600935351,True,True,3.6197183098591528,2.0000000000000004,0.0,500,lloyd,0,5
2035,True,199,204,294,335,5,90,41,136,9.23535806897985,2.955751888438101,9.696819472810484,True,True,2.3278366649825504,0.9999999999999988,0.0,500,lloyd,0,5
2036,True,199,336,499,529,137,163,30,330,7.889678896024179,19.82424638842305,21.336536221966153,True,True,2.2629177284057667,0.5188056959079842,0.0,500,lloyd,0,5
2037,True,199,358,459,489,159,101,30,290,-10.538589458307229,-0.2054828832392559,10.540592534864848,True,True,1.3760504242110265,0.5188056959079844,0.0,500,lloyd,0,5
2038,True,199,450,506,543,251,56,37,344,9.873728491102554,11.885513579226014,15.451729591148569,True,True,1.5453092952099008,0.5188056959079844,0.0,500,lloyd,0,5
2039,True,199,209,258,288,10,49,30,89,12.108123623448137,-9.605209355050562,15.455313145810202,True,True,0.6240484389176026,0.5188056959079843,0.0,500,lloyd,0,5
2040,True,199,293,435,465,94,142,30,266,9.954700357449497,15.147547304943146,18.125789598307033,True,True,1.1892213714329594,0.5188056959079841,0.0,500,lloyd,0,5
2041,True,199,212,295,331,13,83,36,132,-1.9272849972384734,7.220427880442003,7.4732192686448515,True,True,1.880756701741079,1.585786437626906,0.0,500,lloyd,0,5
2042,True,199,205,287,317,6,82,30,118,10.906850086992335,7.03542851529636,12.979084452070179,True,True,3.959932863886795,0.9999999999999993,0.0,500,lloyd,0,5
2043,True,199,200,290,320,1,90,30,121,5.460692575403868,15.618409891348364,16.545509691068432,True,True,3.7107438016528898,2.0,0.0,500,lloyd,0,5
2044,True,199,297,357,387,98,60,30,188,-19.604644694608055,-8.711632022953495,21.4530796415147,True,True,0.6170212765957449,-1.1499755163767868e-16,61.170212765957444,500,lloyd,0,5
2045,True,199,426,525,555,227,99,30,356,44.66157245223826,-8.733908742140045,45.5075511956264,True,False,2.661695205363907,0.6972243622680052,0.0,500,lloyd,0,5
2046,True,199,408,615,645,209,207,30,446,-4.301688075885977,22.60782886460025,23.013440557058647,True,True,1.9569611685635584,0.8299135133739662,0.0,500,lloyd,0,5
2047,True,199,233,303,333,34,70,30,134,44.20643018518683,10.4373547058359,45.421876259939246,True,False,0.9104477611940298,0.0,17.16417910447761,500,lloyd,0,5
2048,True,199,452,576,606,253,124,30,407,27.376629479454664,17.951637084542938,32.737457379437444,True,False,1.2362449958848096,0.0,8.108108108108109,500,lloyd,0,5
2049,True,199,305,404,434,106,99,30,235,6.07112840836453,9.702794411688501,11.445646314050789,True,True,2.393312651272577,0.8299135133739672,0.0,500,lloyd,0,5
2050,True,199,200,263,293,1,63,30,94,10.964263465698878,1.2911212202975548,11.04002116622798,True,True,4.999999999999996,4.999999999999996,0.0,500,lloyd,0,5
2051,True,199,200,380,410,1,180,30,211,3.2933078040463215,-12.587273463465579,13.010969584787182,True,True,3.0700218163771726,0.9999999999999997,0.0,500,lloyd,0,5
2052,True,199,200,436,466,1,236,30,267,-0.44093050154629054,-8.61986157137028,8.631131630138656,True,True,0.6117387630124804,0.0,61.42322097378277,500,lloyd,0,5
2053,True,199,260,413,443,61,153,30,244,6.698001522063123,-19.42544886369609,20.54778060875752,True,True,3.154522686244746,1.5857864376269046,0.0,500,lloyd,0,5
